cas,smile,odors
105-79-3,CCCCCC(=O)OCC(C)C,"ananas,doux,ester,fruité,pêche,pomme verte,vert"
105-82-8,CCCOC(C)OCCC,"asperge,chrysanthème,herbe,légume,radis,vert"
105-85-1,CC(CCOC=O)CCC=C(C)C,"abricot,agrume,baie,cire d'abeille,concombre,doux,floral,fruité,mandarine,pêche,pomme,prune,rose,vert"
105-86-2,CC(C)=CCC\C(C)=C\COC=O,"abricot,agrume,cire d'abeille,floral,fruité,pêche,pomme,rose,vert"
105-87-3,CC(=O)OC/C=C(C)/CCC=C(C)C,"agrume,cire d'abeille,floral,frais,herbe,huile,lavande,rhum,rose,savon,vert,vin"
105-89-5,CCC(=O)OCCC(C)CCCC(C)=C,"amande,géranium,verveine"
105-90-8,CCC(=O)OC/C=C(C)/CCC=C(C)C,"cire d'abeille,floral,frais,fruité,herbe,légume,miel,poudré,rose"
105-91-9,CCC(=O)OC\C=C(C)/CCC=C(C)C,"baie,cire d'abeille,confiture,doux,floral,fruité,poudré,vert"
105-95-3,O=C1CCCCCCCCCCCC(=O)OCCO1,"ambrette,boisé,doux,épicé,floral,musc,poudré,vanille"
10519-06-9,CCCCOc1ccc(C)cc1,floral
10519-11-6,CC(=O)OC1CCC2CCCCC2C1,"floral,fruité,herbe,poussière"
10519-12-7,O=COC1CCC2CCCCC2C1,"boisé,floral,huile"
10519-17-2,CCCCCCCCC#CC(=O)OCC,"cire d'abeille,réséda"
10519-20-7,CCCCCC#CC(=O)OCC,"cire d'abeille,huile"
10519-33-2,CCCCCC/C=C/C(C)=O,"cire d'abeille,frais,fruité,gras,jasmin,lait frais,poire,pomme,pomme verte,poulet,terre,vert"
10521-91-2,OCCCCCc1ccccc1,"citron,œillet,rose,verveine"
10521-96-7,CC(=O)O\C=C/c1ccccc1,"fruité,rhum"
10522-18-6,CCCCCCCCC#CC(=O)OC,"cire d'abeille,floral,fruité,gras,huile,lait frais,poulet,suif,vert,violette"
10522-32-4,CC(C)=CCC\C(C)=C/COC(=O)Cc1ccccc1,"chèvrefeuille,rose"
10544-63-5,CCOC(=O)\C=C/C,"ananas,caramel,cognac,ester,fruité,rhum"
105463-44-3,CC1(C)CCCCC(C)(C)C1(O)CC=C,"camphre,patchouli,racine,terre"
10580-25-3,CCCCCC(=O)OCCC(C)CCC=C(C)C,"floral,fruité"
10588-10-0,CCCCC(=O)OCC(C)C,"doux,fraise,fruité,pomme"
10588-15-5,CC1CCC(C(C1)OC=O)C(C)=C,"tubéreuse,vert"
10599-70-9,CC(=O)c1cc(C)oc1C,"cacao,cuir,fruit à coque,maïs,moisi,pain,poudré,terre"
106-02-5,O=C1CCCCCCCCCCCCCCO1,"animal,coumarine,crème,fruité,héliotrope,poudré,réglisse,tabac,vanille"
106-18-3,CCCCCCCCCCCC(=O)OCCCC,"cacahuète,cire d'abeille,crème,fermentaire,fruité,lactique,savon"
106-21-8,CC(C)CCCC(C)CCO,"agrume,aldéhyde,boisé,cire d'abeille,citron,citron vert,cuir,floral,frais,gras,moisi,orange,rose,savon,vert"
106-22-9,C[C@@H](CCO)CCC=C(C)C,"agrume,cire d'abeille,cuir,doux,floral,fruité,gras,rose,vert"
106-23-0,C[C@H](CCC=C(C)C)CC=O,"agrume,aldéhyde,cire d'abeille,citron,doux,floral,herbe,rose,vert"
106-24-1,CC(C)=CCC\C(C)=C\CO,"agrume,cire d'abeille,citronelle,doux,floral,fruité,géranium,pêche,rose"
106-25-2,CC(C)=CCC\C(C)=C/CO,"agrume,cire d'abeille,citron,citron vert,doux,épicé,floral,frais,fruité,magnolia,vert"
106-26-3,CC(C)=CCC\C(C)=C/C=O,"agrume,citron,zesté"
106-27-4,CCCC(=O)OCCC(C)C,"abricot,baie,banane,cire d'abeille,doux,ester,fruité,melon,poire,pomme,vert"
106-28-5,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO,"cire d'abeille,doux,floral,lys"
106-29-6,CCCC(=O)OC/C=C(C)/CCC=C(C)C,"abricot,cire d'abeille,doux,floral,frais,framboise,fruité,pêche,pomme,rose,vert"
106-30-9,CCCCCCC(=O)OCC,"ananas,baie,banane,cognac,doux,épicé,ester,fraise,fruité,huile,rhum,vert,vin"
106-32-1,CCCCCCCC(=O)OCC,"abricot,ananas,banane,brandy,champignon,cire d'abeille,cognac,crème,doux,fermentaire,fruité,graisse,gras,lactique,moisi,poire,vin"
106-33-2,CCCCCCCCCCCC(=O)OCC,"cire d'abeille,crème,doux,floral,fruité,lactique,rhum,savon"
106-35-4,CCCCC(=O)CC,"crème,doux,fromage,fruité,gras,moisi"
106-36-5,CCCOC(=O)CC,"ananas,chimique,doux,fruité,vert,vin"
106-44-5,Cc1ccc(O)cc1,"animal,fumée,mimosa,narcisse,phénolé"
106-65-0,COC(=O)CCC(=O)OC,"cire d'abeille,doux,floral,fruité,savon,vert"
106-68-3,CCCCCC(=O)CC,"beurre,champignon,doux,fermentaire,fromage,fruité,herbe,lavande,légume,moisi,terre,vert"
106-70-7,CCCCCC(=O)OC,"ananas,doux,éther,frais,fruité,gras"
106-72-9,CC(CCC=C(C)C)C=O,"chimique,cire d'abeille,concombre,doux,floral,huile,melon,ozone,pastèque,vert"
106-73-0,CCCCCCC(=O)OC,"baie,cire d'abeille,doux,floral,fruité,pomme,vert"
107-02-8,C=CC=O,cerise
107-03-9,CCCS,"doux,gaz,oignon"
107-31-3,COC=O,"ester,prune"
107-74-4,CC(CCO)CCCC(C)(C)O,"doux,floral,lys,pivoine,poudré,poussière,rose,vert"
107-75-5,CC(CCCC(C)(C)O)CC=O,"agrume,cire d'abeille,doux,floral,lys,melon,vert"
107-86-8,CC(C)=CC=O,"amande,cerise,doux,fruit à coque,fruité,vert"
107-87-9,CCCC(C)=O,"banane,boisé,doux,éther,fermentaire,fruité,vin"
107-92-6,CCCC(O)=O,"beurre,crème,fromage,fruité,lactique,sueur"
